apple,pomme
banana,banane
car,voiture
cat,chat
dog,chien
elephant,elephant
flower,fleur
guitar,guitare
house,maison
internet,l'Internet
jacket,veste
kite,cerf-volant
lamp,lampe
moon,lune
notebook,carnet de notes
night,nuit
ocean,ocean
pencil,crayon
queen,reine
rain,pluie
star,etoile
tree,arbre
truck,camion
umbrella,parapluie
volcano,volcan
water,eau
zebra,zebre
cow,vache
sink,couler
shower,douche
the,le
me,moi
america,Amerique
canada,Canada
france,France
mexico,Mexique
africa,Afrique
australia,Australie
china,Chine
japan,Japon
india,Inde
ninja,ninja
chicken,poulet
egg,oeuf
fish,poisson
pig,cochon
sheep,mouton
horse,cheval
