apple,Apfel
banana,Banane
car,Auto
cat,Katze
dog,Hund
elephant,Elefant
flower,Blume
guitar,Gitarre
house,Haus
internet,Internet
jacket,Jacke
kite,Drachen
lamp,Lampe
moon,Mond
notebook,Notizbuch
night,Nacht
ocean,Ozean
pencil,Bleistift
queen,Konigin
rain,Regen
star,Stern
tree,Baum
truck,LKW
umbrella,Regenschirm
volcano,Vulkan
water,Wasser
zebra,Zebra
cow,Kuh
sink,Waschbecken
shower,Dusche
the,Die
me,Mich
america,Amerika
canada,Kanada
france,Frankreich
mexico,Mexiko
africa,Afrika
australia,Australien
china,China
japan,Japan
india,Indien
ninja,Ninja
chicken,Huhn
egg,Ei
fish,Fisch
pig,Schwein
sheep,Schaf
horse,Pferd
