apple,manzana
banana,banana
car,auto
cat,gato
dog,perro
elephant,elefante
flower,flor
guitar,guitarra
house,casa
internet,Internet
jacket,chaqueta
kite,cometa
lamp,lampara
moon,luna
notebook,computadora portatil
night,noche
ocean,oceano
pencil,lapiz
queen,reina
rain,lluvia
star,estrella
tree,arbol
truck,camion
umbrella,paraguas
volcano,volcan
water,agua
zebra,cebra
cow,vaca
sink,hundir
shower,ducha
the,el
me,a mi
america,America
canada,Canada
france,Francia
mexico,Mexico
africa,Africa
australia,Australia
china,porcelana
japan,Japon
india,India
ninja,ninjas
chicken,pollo
egg,huevo
fish,pez
pig,cerdo
sheep,oveja
horse,caballo
